"date","outbreak_group","outbreak_subgroup","number_ongoing_outbreaks"
2020-11-09,"Education","Elementary/Secondary School",3
2020-11-09,"Education","Post-Secondary School",2
2020-11-09,"Education","Secondary School",11
2020-11-09,"Other/Unknown","Other",11
2020-11-09,"Other/Unknown","Unknown",3
2020-11-09,"Recreational","Bar/restaurant/nightclub",14
2020-11-09,"Recreational","Other recreation",15
2020-11-09,"Recreational","Personal service settings",2
2020-11-09,"Recreational","Recreational fitness",10
2020-11-09,"Workplace","Medical/Health Service",6
2020-11-09,"Workplace","Retail",4
2020-11-09,"Workplace","Farm",4
2020-11-09,"Workplace","Food Processing",10
2020-11-09,"Workplace","Workplace (Other)",129
2020-11-10,"Congregate Care","Hospitals",21
2020-11-10,"Congregate Care","Long-Term Care Homes",90
2020-11-10,"Congregate Care","Retirement Homes",61
2020-11-10,"Congregate Living","Congregate other",7
2020-11-10,"Congregate Living","Correctional Facility",2
2020-11-10,"Congregate Living","Group Home/Supportive Housing",31
2020-11-10,"Congregate Living","Shelter",11
2020-11-10,"Congregate Living","Short-term accommodations",2
2020-11-10,"Education","Child care",54
2020-11-10,"Education","Elementary School",48
2020-11-10,"Education","Elementary/Secondary School",4
2020-11-10,"Education","Post-Secondary School",2
2020-11-10,"Education","Secondary School",10
2020-11-10,"Other/Unknown","Other",12
2020-11-10,"Other/Unknown","Unknown",1
2020-11-10,"Recreational","Bar/restaurant/nightclub",15
2020-11-10,"Recreational","Other recreation",15
2020-11-10,"Recreational","Personal service settings",2
2020-11-10,"Recreational","Recreational fitness",10
2020-11-10,"Workplace","Medical/Health Service",6
2020-11-10,"Workplace","Retail",4
2020-11-10,"Workplace","Farm",3
2020-11-10,"Workplace","Food Processing",10
2020-11-10,"Workplace","Workplace (Other)",133
2020-11-11,"Congregate Care","Hospitals",21
2020-11-11,"Congregate Care","Long-Term Care Homes",92
2020-11-11,"Congregate Care","Retirement Homes",56
2020-11-11,"Congregate Living","Congregate other",8
2020-11-11,"Congregate Living","Correctional Facility",2
2020-11-11,"Congregate Living","Group Home/Supportive Housing",33
2020-11-11,"Congregate Living","Shelter",12
2020-11-11,"Congregate Living","Short-term accommodations",2
2020-11-11,"Education","Child care",53
2020-11-11,"Education","Elementary School",50
2020-11-11,"Education","Elementary/Secondary School",4
2020-11-11,"Education","Post-Secondary School",2
2020-11-11,"Education","Secondary School",12
2020-11-11,"Other/Unknown","Other",3
2020-11-11,"Other/Unknown","Unknown",1
2020-11-11,"Recreational","Bar/restaurant/nightclub",16
2020-11-11,"Recreational","Other recreation",17
2020-11-11,"Recreational","Personal service settings",3
2020-11-11,"Recreational","Recreational fitness",11
2020-11-11,"Workplace","Medical/Health Service",6
2020-11-11,"Workplace","Retail",4
2020-11-11,"Workplace","Farm",4
2020-11-11,"Workplace","Food Processing",11
2020-11-11,"Workplace","Workplace (Other)",133
2020-11-12,"Congregate Care","Hospitals",23
2020-11-12,"Congregate Care","Long-Term Care Homes",93
2020-11-12,"Congregate Care","Retirement Homes",53
2020-11-12,"Congregate Living","Congregate other",8
2020-11-12,"Congregate Living","Correctional Facility",2
2020-11-12,"Congregate Living","Group Home/Supportive Housing",32
2020-11-12,"Congregate Living","Shelter",13
2020-11-12,"Congregate Living","Short-term accommodations",2
2020-11-12,"Education","Child care",51
2020-11-12,"Education","Elementary School",55
2020-11-12,"Education","Elementary/Secondary School",3
2020-11-12,"Education","Post-Secondary School",1
2020-11-12,"Education","Secondary School",12
2020-11-12,"Other/Unknown","Other",6
2020-11-12,"Other/Unknown","Unknown",1
2020-11-12,"Recreational","Bar/restaurant/nightclub",17
2020-11-12,"Recreational","Other recreation",16
2020-11-12,"Recreational","Personal service settings",1
2020-11-12,"Recreational","Recreational fitness",10
2020-11-12,"Workplace","Medical/Health Service",6
2020-11-12,"Workplace","Retail",4
2020-11-12,"Workplace","Farm",4
2020-11-12,"Workplace","Food Processing",11
2020-11-12,"Workplace","Workplace (Other)",136
2020-11-13,"Congregate Care","Hospitals",23
2020-11-13,"Congregate Care","Long-Term Care Homes",95
2020-11-13,"Congregate Care","Retirement Homes",55
2020-11-13,"Congregate Living","Congregate other",8
2020-11-13,"Congregate Living","Correctional Facility",2
2020-11-13,"Congregate Living","Group Home/Supportive Housing",28
2020-11-13,"Congregate Living","Shelter",13
2020-11-13,"Congregate Living","Short-term accommodations",2
2020-11-13,"Education","Child care",51
2020-11-13,"Education","Elementary School",59
2020-11-13,"Education","Elementary/Secondary School",4
2020-11-13,"Education","Post-Secondary School",1
2020-11-13,"Education","Secondary School",13
2020-11-13,"Other/Unknown","Other",11
2020-11-13,"Other/Unknown","Unknown",2
2020-11-13,"Recreational","Bar/restaurant/nightclub",17
2020-11-13,"Recreational","Other recreation",18
2020-11-13,"Recreational","Personal service settings",1
2020-11-13,"Recreational","Recreational fitness",10
2020-11-13,"Workplace","Medical/Health Service",5
2020-11-13,"Workplace","Retail",3
2020-11-13,"Workplace","Farm",4
2020-11-13,"Workplace","Food Processing",9
2020-11-13,"Workplace","Workplace (Other)",134
2020-11-14,"Congregate Care","Hospitals",24
2020-11-14,"Congregate Care","Long-Term Care Homes",97
2020-11-14,"Congregate Care","Retirement Homes",56
2020-11-14,"Congregate Living","Congregate other",7
2020-11-14,"Congregate Living","Correctional Facility",2
2020-11-14,"Congregate Living","Group Home/Supportive Housing",29
2020-11-14,"Congregate Living","Shelter",13
2020-11-14,"Congregate Living","Short-term accommodations",2
2020-11-14,"Education","Child care",48
2020-11-14,"Education","Elementary School",62
2020-11-14,"Education","Elementary/Secondary School",4
2020-11-14,"Education","Post-Secondary School",2
2020-11-14,"Education","Secondary School",18
2020-11-14,"Other/Unknown","Other",18
2020-11-14,"Other/Unknown","Unknown",2
2020-11-14,"Recreational","Bar/restaurant/nightclub",17
2020-11-14,"Recreational","Other recreation",18
2020-11-14,"Recreational","Personal service settings",1
2020-11-14,"Recreational","Recreational fitness",11
2020-11-14,"Workplace","Medical/Health Service",3
2020-11-14,"Workplace","Retail",4
2020-11-14,"Workplace","Farm",4
2020-11-14,"Workplace","Food Processing",9
2020-11-14,"Workplace","Workplace (Other)",139
2020-11-15,"Congregate Care","Hospitals",26
2020-11-15,"Congregate Care","Long-Term Care Homes",96
2020-11-15,"Congregate Care","Retirement Homes",58
2020-11-15,"Congregate Living","Congregate other",7
2020-11-15,"Congregate Living","Correctional Facility",2
2020-11-15,"Congregate Living","Group Home/Supportive Housing",28
2020-11-15,"Congregate Living","Shelter",13
2020-11-15,"Congregate Living","Short-term accommodations",2
2020-11-15,"Education","Child care",49
2020-11-15,"Education","Elementary School",65
2020-11-15,"Education","Elementary/Secondary School",4
2020-11-15,"Education","Post-Secondary School",2
2020-11-15,"Education","Secondary School",19
2020-11-15,"Other/Unknown","Other",19
2020-11-15,"Other/Unknown","Unknown",3
2020-11-15,"Recreational","Bar/restaurant/nightclub",18
2020-11-15,"Recreational","Other recreation",18
2020-11-15,"Recreational","Personal service settings",1
2020-11-15,"Recreational","Recreational fitness",11
2020-11-15,"Workplace","Medical/Health Service",3
2020-11-15,"Workplace","Retail",5
2020-11-15,"Workplace","Farm",4
2020-11-15,"Workplace","Food Processing",9
2020-11-15,"Workplace","Workplace (Other)",144
2020-11-16,"Congregate Care","Hospitals",26
2020-11-16,"Congregate Care","Long-Term Care Homes",101
2020-11-16,"Congregate Care","Retirement Homes",60
2020-11-16,"Congregate Living","Congregate other",7
2020-11-16,"Congregate Living","Correctional Facility",2
2020-11-16,"Congregate Living","Group Home/Supportive Housing",28
2020-11-16,"Congregate Living","Shelter",13
2020-11-16,"Congregate Living","Short-term accommodations",2
2020-11-16,"Education","Child care",49
2020-11-16,"Education","Elementary School",64
2020-11-16,"Education","Elementary/Secondary School",4
2020-11-16,"Education","Post-Secondary School",2
2020-11-16,"Education","Secondary School",17
2020-11-16,"Other/Unknown","Other",21
2020-11-16,"Other/Unknown","Unknown",3
2020-11-16,"Recreational","Bar/restaurant/nightclub",18
2020-11-16,"Recreational","Other recreation",18
2020-11-16,"Recreational","Personal service settings",1
2020-11-16,"Recreational","Recreational fitness",11
2020-11-16,"Workplace","Medical/Health Service",3
2020-11-16,"Workplace","Retail",5
2020-11-16,"Workplace","Farm",4
2020-11-16,"Workplace","Food Processing",9
2020-11-16,"Workplace","Workplace (Other)",143
2020-11-17,"Congregate Care","Hospitals",26
2020-11-17,"Congregate Care","Long-Term Care Homes",96
2020-11-17,"Congregate Care","Retirement Homes",63
2020-11-17,"Congregate Living","Congregate other",8
2020-11-17,"Congregate Living","Correctional Facility",2
2020-11-17,"Congregate Living","Group Home/Supportive Housing",28
2020-11-17,"Congregate Living","Shelter",11
2020-11-17,"Congregate Living","Short-term accommodations",2
2020-11-17,"Education","Child care",49
2020-11-17,"Education","Elementary School",61
2020-11-17,"Education","Elementary/Secondary School",5
2020-11-17,"Education","Post-Secondary School",2
2020-11-17,"Education","Secondary School",20
2020-11-17,"Other/Unknown","Other",25
2020-11-17,"Other/Unknown","Unknown",4
2020-11-17,"Recreational","Bar/restaurant/nightclub",20
2020-11-17,"Recreational","Other recreation",18
2020-11-17,"Recreational","Personal service settings",1
2020-11-17,"Recreational","Recreational fitness",8
2020-11-17,"Workplace","Medical/Health Service",4
2020-11-17,"Workplace","Retail",5
2020-11-17,"Workplace","Farm",4
2020-11-17,"Workplace","Food Processing",10
2020-11-17,"Workplace","Workplace (Other)",140
2020-11-18,"Congregate Care","Hospitals",28
2020-11-18,"Congregate Care","Long-Term Care Homes",96
2020-11-18,"Congregate Care","Retirement Homes",63
2020-11-18,"Congregate Living","Congregate other",7
2020-11-18,"Congregate Living","Correctional Facility",2
2020-11-18,"Congregate Living","Group Home/Supportive Housing",29
2020-11-18,"Congregate Living","Shelter",12
2020-11-18,"Congregate Living","Short-term accommodations",2
2020-11-18,"Education","Child care",49
2020-11-18,"Education","Elementary School",63
2020-11-18,"Education","Elementary/Secondary School",5
2020-11-18,"Education","Post-Secondary School",2
2020-11-18,"Education","Secondary School",20
2020-11-18,"Other/Unknown","Other",8
2020-11-18,"Other/Unknown","Unknown",6
2020-11-18,"Recreational","Bar/restaurant/nightclub",23
2020-11-18,"Recreational","Other recreation",20
2020-11-18,"Recreational","Personal service settings",1
2020-11-18,"Recreational","Recreational fitness",10
2020-11-18,"Workplace","Medical/Health Service",7
2020-11-18,"Workplace","Retail",20
2020-11-18,"Workplace","Farm",5
2020-11-18,"Workplace","Food Processing",19
2020-11-18,"Workplace","Workplace (Other)",127
2020-11-19,"Congregate Care","Hospitals",28
2020-11-19,"Congregate Care","Long-Term Care Homes",95
2020-11-19,"Congregate Care","Retirement Homes",63
2020-11-19,"Congregate Living","Congregate other",7
2020-11-19,"Congregate Living","Correctional Facility",2
2020-11-19,"Congregate Living","Group Home/Supportive Housing",26
2020-11-19,"Congregate Living","Shelter",12
2020-11-19,"Congregate Living","Short-term accommodations",2
2020-11-19,"Education","Child care",50
2020-11-19,"Education","Elementary School",65
2020-11-19,"Education","Elementary/Secondary School",5
2020-11-19,"Education","Post-Secondary School",2
2020-11-19,"Education","Secondary School",19
2020-11-19,"Other/Unknown","Other",10
2020-11-19,"Other/Unknown","Unknown",6
2020-11-19,"Recreational","Bar/restaurant/nightclub",22
2020-11-19,"Recreational","Other recreation",22
2020-11-19,"Recreational","Recreational fitness",10
2020-11-19,"Workplace","Medical/Health Service",7
2020-11-19,"Workplace","Retail",19
2020-11-19,"Workplace","Farm",5
2020-11-19,"Workplace","Food Processing",19
2020-11-19,"Workplace","Workplace (Other)",128
2020-11-20,"Congregate Care","Hospitals",27
2020-11-20,"Congregate Care","Long-Term Care Homes",96
2020-11-20,"Congregate Care","Retirement Homes",64
2020-11-20,"Congregate Living","Congregate other",7
2020-11-20,"Congregate Living","Correctional Facility",2
2020-11-20,"Congregate Living","Group Home/Supportive Housing",27
2020-11-20,"Congregate Living","Shelter",12
2020-11-20,"Congregate Living","Short-term accommodations",2
2020-11-20,"Education","Child care",48
2020-11-20,"Education","Elementary School",67
2020-11-20,"Education","Elementary/Secondary School",5
2020-11-20,"Education","Post-Secondary School",2
2020-11-20,"Education","Secondary School",18
2020-11-20,"Other/Unknown","Other",12
2020-11-20,"Other/Unknown","Unknown",6
2020-11-20,"Recreational","Bar/restaurant/nightclub",22
2020-11-20,"Recreational","Other recreation",22
2020-11-20,"Recreational","Recreational fitness",10
2020-11-20,"Workplace","Medical/Health Service",8
2020-11-20,"Workplace","Retail",20
2020-11-20,"Workplace","Farm",5
2020-11-20,"Workplace","Food Processing",18
2020-11-20,"Workplace","Workplace (Other)",135
2020-11-21,"Congregate Care","Hospitals",29
2020-11-21,"Congregate Care","Long-Term Care Homes",97
2020-11-21,"Congregate Care","Retirement Homes",63
2020-11-21,"Congregate Living","Congregate other",8
2020-11-21,"Congregate Living","Correctional Facility",2
2020-11-21,"Congregate Living","Group Home/Supportive Housing",29
2020-11-21,"Congregate Living","Shelter",11
2020-11-21,"Congregate Living","Short-term accommodations",2
2020-11-21,"Education","Child care",48
2020-11-21,"Education","Elementary School",66
2020-11-21,"Education","Elementary/Secondary School",4
2020-11-21,"Education","Post-Secondary School",2
2020-11-21,"Education","Secondary School",19
2020-11-21,"Other/Unknown","Other",13
2020-11-21,"Other/Unknown","Unknown",3
2020-11-21,"Recreational","Bar/restaurant/nightclub",25
2020-11-21,"Recreational","Other recreation",24
2020-11-21,"Recreational","Recreational fitness",11
2020-11-21,"Workplace","Medical/Health Service",8
2020-11-21,"Workplace","Retail",19
2020-11-21,"Workplace","Farm",5
2020-11-21,"Workplace","Food Processing",18
2020-11-21,"Workplace","Workplace (Other)",138
2020-11-22,"Congregate Care","Hospitals",28
2020-11-22,"Congregate Care","Long-Term Care Homes",97
2020-11-22,"Congregate Care","Retirement Homes",63
2020-11-22,"Congregate Living","Congregate other",9
2020-11-22,"Congregate Living","Correctional Facility",2
2020-11-22,"Congregate Living","Group Home/Supportive Housing",27
2020-11-22,"Congregate Living","Shelter",11
2020-11-22,"Congregate Living","Short-term accommodations",2
2020-11-22,"Education","Child care",48
2020-11-22,"Education","Elementary School",70
2020-11-22,"Education","Elementary/Secondary School",4
2020-11-22,"Education","Post-Secondary School",2
2020-11-22,"Education","Secondary School",18
2020-11-22,"Other/Unknown","Other",19
2020-11-22,"Other/Unknown","Unknown",5
2020-11-22,"Recreational","Bar/restaurant/nightclub",25
2020-11-22,"Recreational","Other recreation",23
2020-11-22,"Recreational","Recreational fitness",12
2020-11-22,"Workplace","Medical/Health Service",8
2020-11-22,"Workplace","Retail",20
2020-11-22,"Workplace","Farm",4
2020-11-22,"Workplace","Food Processing",18
2020-11-22,"Workplace","Workplace (Other)",143
2020-11-23,"Congregate Care","Hospitals",29
2020-11-23,"Congregate Care","Long-Term Care Homes",97
2020-11-23,"Congregate Care","Retirement Homes",63
2020-11-23,"Congregate Living","Congregate other",11
2020-11-23,"Congregate Living","Correctional Facility",3
2020-11-23,"Congregate Living","Group Home/Supportive Housing",28
2020-11-23,"Congregate Living","Shelter",11
2020-11-23,"Congregate Living","Short-term accommodations",2
2020-11-23,"Education","Child care",48
2020-11-23,"Education","Elementary School",70
2020-11-23,"Education","Elementary/Secondary School",4
2020-11-23,"Education","Post-Secondary School",3
2020-11-23,"Education","Secondary School",19
2020-11-23,"Other/Unknown","Other",19
2020-11-23,"Other/Unknown","Unknown",6
2020-11-23,"Recreational","Bar/restaurant/nightclub",25
2020-11-23,"Recreational","Other recreation",23
2020-11-23,"Recreational","Recreational fitness",11
2020-11-23,"Workplace","Medical/Health Service",7
2020-11-23,"Workplace","Retail",20
2020-11-23,"Workplace","Farm",4
2020-11-23,"Workplace","Food Processing",18
2020-11-23,"Workplace","Workplace (Other)",146
2020-11-24,"Congregate Care","Hospitals",29
2020-11-24,"Congregate Care","Long-Term Care Homes",101
2020-11-24,"Congregate Care","Retirement Homes",62
2020-11-24,"Congregate Living","Congregate other",11
2020-11-24,"Congregate Living","Correctional Facility",3
2020-11-24,"Congregate Living","Group Home/Supportive Housing",29
2020-11-24,"Congregate Living","Shelter",10
2020-11-24,"Congregate Living","Short-term accommodations",2
2020-11-24,"Education","Child care",50
2020-11-24,"Education","Elementary School",75
2020-11-24,"Education","Elementary/Secondary School",4
2020-11-24,"Education","Post-Secondary School",2
2020-11-24,"Education","Secondary School",23
2020-11-24,"Other/Unknown","Other",20
2020-11-24,"Other/Unknown","Unknown",4
2020-11-24,"Recreational","Bar/restaurant/nightclub",24
2020-11-24,"Recreational","Other recreation",24
2020-11-24,"Recreational","Recreational fitness",11
2020-11-24,"Workplace","Medical/Health Service",7
2020-11-24,"Workplace","Retail",22
2020-11-24,"Workplace","Farm",4
2020-11-24,"Workplace","Food Processing",18
2020-11-24,"Workplace","Workplace (Other)",144
2020-11-25,"Congregate Care","Hospitals",30
2020-11-25,"Congregate Care","Long-Term Care Homes",108
2020-11-25,"Congregate Care","Retirement Homes",60
2020-11-25,"Congregate Living","Congregate other",11
2020-11-25,"Congregate Living","Correctional Facility",3
2020-11-25,"Congregate Living","Group Home/Supportive Housing",31
2020-11-25,"Congregate Living","Shelter",12
2020-11-25,"Congregate Living","Short-term accommodations",2
2020-11-25,"Education","Child care",50
2020-11-25,"Education","Elementary School",81
2020-11-25,"Education","Elementary/Secondary School",4
2020-11-25,"Education","Post-Secondary School",2
2020-11-25,"Education","Secondary School",25
2020-11-25,"Other/Unknown","Other",5
2020-11-25,"Other/Unknown","Unknown",2
2020-11-25,"Recreational","Bar/restaurant/nightclub",22
2020-11-25,"Recreational","Other recreation",28
2020-11-25,"Recreational","Personal service settings",1
2020-11-25,"Recreational","Recreational fitness",13
2020-11-25,"Workplace","Medical/Health Service",9
2020-11-25,"Workplace","Retail",24
2020-11-25,"Workplace","Farm",5
2020-11-25,"Workplace","Food Processing",21
2020-11-25,"Workplace","Workplace (Other)",150
2020-11-26,"Congregate Care","Hospitals",32
2020-11-26,"Congregate Care","Long-Term Care Homes",109
2020-11-26,"Congregate Care","Retirement Homes",58
2020-11-26,"Congregate Living","Congregate other",11
2020-11-26,"Congregate Living","Correctional Facility",3
2020-11-26,"Congregate Living","Group Home/Supportive Housing",32
2020-11-26,"Congregate Living","Shelter",12
2020-11-26,"Congregate Living","Short-term accommodations",2
2020-11-26,"Education","Child care",48
2020-11-26,"Education","Elementary School",82
2020-11-26,"Education","Elementary/Secondary School",4
2020-11-26,"Education","Post-Secondary School",2
2020-11-26,"Education","Secondary School",25
2020-11-26,"Other/Unknown","Other",16
2020-11-26,"Other/Unknown","Unknown",3
2020-11-26,"Recreational","Bar/restaurant/nightclub",23
2020-11-26,"Recreational","Other recreation",26
2020-11-26,"Recreational","Personal service settings",1
2020-11-26,"Recreational","Recreational fitness",14
